label,loss,sce_radius,seed,temperature,neighbor_scale,method,nfe,valid,novel,unique_valid,unique_novel,total
ce_temp12_s3,ce,,3,1.2,4.0,euler,16,259,230,259,230,1024
ce_temp12_s3,ce,,3,1.2,4.0,neighbor,16,274,251,273,250,1024
ce_temp12_s3,ce,,3,1.2,4.0,entropy,16,86,84,86,84,1024
ce_temp12_s3,ce,,3,1.2,4.0,euler,32,338,295,338,295,1024
ce_temp12_s3,ce,,3,1.2,4.0,neighbor,32,346,309,345,309,1024
ce_temp12_s3,ce,,3,1.2,4.0,entropy,32,193,182,193,182,1024
ce_temp12_s3,ce,,3,1.2,4.0,euler,64,325,278,325,278,1024
ce_temp12_s3,ce,,3,1.2,4.0,neighbor,64,362,316,362,316,1024
ce_temp12_s3,ce,,3,1.2,4.0,entropy,64,293,259,293,259,1024
ce_temp12_s3,ce,,3,1.2,4.0,euler,128,363,316,362,316,1024
ce_temp12_s3,ce,,3,1.2,4.0,neighbor,128,364,320,364,320,1024
ce_temp12_s3,ce,,3,1.2,4.0,entropy,128,348,300,348,300,1024
ce_temp12_s3,ce,,3,1.2,4.0,euler,256,376,314,376,314,1024
ce_temp12_s3,ce,,3,1.2,4.0,neighbor,256,376,327,376,327,1024
ce_temp12_s3,ce,,3,1.2,4.0,entropy,256,400,335,400,335,1024
sce_r1_temp08_s0,sce,1,0,0.8,4.0,euler,8,272,231,272,231,1024
sce_r1_temp08_s0,sce,1,0,0.8,4.0,neighbor,8,244,207,244,207,1024
sce_r1_temp08_s0,sce,1,0,0.8,4.0,entropy,8,63,59,63,59,1024
sce_r1_temp08_s0,sce,1,0,0.8,4.0,euler,16,388,305,387,305,1024
sce_r1_temp08_s0,sce,1,0,0.8,4.0,neighbor,16,379,319,379,319,1024
sce_r1_temp08_s0,sce,1,0,0.8,4.0,entropy,16,181,157,181,157,1024
sce_r1_temp08_s0,sce,1,0,0.8,4.0,euler,32,418,330,417,329,1024
